ItemNo,KindNo,AItemName,SupplierItemNo,EItemName,Description,CategoryNo,UnitNo1,UnitNo2,NumberOfPcs,ReOrderUnit2,BarCodeNo,ManufactureName,Ratio1,Ratio2,MaxSells,MinSells,PriceUnit2,DPriceUnit2,LPriceUnit1,LPriceUnit2,CostUnit2,LCost,PreviousCost,Location,PurchaseDate,Discount,GroupItem,OtherItem,prc
10,1,جلبة اصلاح ابلكو 200 ملي,,,,6,1,1,1,0,10,,0,0,0,0,52.8,52.8,0,0,31.68,0,0,,,0,FALSE,FALSE,FALSE
100,1,جلبة ابيض 110 ملي ضغط 40,,,,16,1,1,1,1,100,,0,0,0,0,4,3,0,0,2.5,2.5,0,,,0,FALSE,FALSE,FALSE
1002,1,كفوف جلد باكستانى,,,,1,1,1,1,1,1002,,0,0,0,0,5,3,0,0,2.36,2.36,0,,,0,FALSE,FALSE,FALSE
1003,1,كفوف برتقالى خفيف,,,,1,1,1,1,1,1003,,0,0,0,0,3,2,0,0,1.5,1.5,0,,,0,FALSE,FALSE,FALSE
1004,1,كوع فاتح ابلكو 110 ملى (30),,,,6,1,1,1,1,1004,,0,0,0,0,11.9,11.9,0,0,7.13,7.13,0,,,0,FALSE,FALSE,FALSE
1005,1,كوع فاتح ابلكو 160 ملى,550,,,6,1,1,1,1,1005,ابلكو,0,0,0,0,32.3,32.3,0,0,19.38,19.38,0,,,0,FALSE,FALSE,FALSE
1006,1,كوع ابلكو 110 ملى,,,,6,1,1,1,1,1006,,0,0,0,0,17.7,17.7,0,0,10.62,10.62,0,,,0,FALSE,FALSE,FALSE
1007,1,كوع فاتح ابلكو 110 ملى (15),1540,,,6,1,1,1,1,1007,ابلكو,0,0,0,0,11.7,11.7,0,0,7.02,7.02,0,,,0,FALSE,FALSE,FALSE
1008,1,كوع فاتح ابلكو 110 ملى,,,,6,1,1,1,1,1008,,0,0,0,0,14.5,14.5,0,0,8.7,8.7,0,,,0,FALSE,FALSE,FALSE
1000,1,كفوف بلاستيك خفيف,,,,1,1,1,1,1,1000,,0,0,0,0,3,2.5,0,3,1.5,1.5,0,,,0,FALSE,FALSE,FALSE
1001,1,كفوف بلاستيك ثقيل,,,,1,1,1,1,1,1001,,0,0,0,0,5,4,0,0,2.35,2.35,0,,,0,FALSE,FALSE,FALSE
1,1,قلب باب خشب صينى ثقيل,,,,1,1,1,1,0,1,,0,0,0,0,10,8,0,0,6.75,6.51,0,,,0,FALSE,FALSE,FALSE
101,1,جلبة ابيض 114 ملى جودة ضغط 40,,,,16,1,1,1,1,101,,0,0,0,0,5,4,0,0,3.5,0,0,,,0,FALSE,FALSE,FALSE
1010,1,كوع فاتح ابلكو 160 ملى (15),1550,,,6,1,1,1,1,1010,ابلكو,0,0,0,0,30.6,30.6,0,0,18.36,18.36,0,,,0,FALSE,FALSE,FALSE
1011,1,كوع فاتح ابلكو 50 ملى,44520,,,6,1,1,1,1,1011,ابلكو,0,0,0,0,5.9,5.9,0,0,3.55,3.55,0,,,0,FALSE,FALSE,FALSE
1013,1,"كوع فاتح غاز 1""",,,,15,1,1,1,1,1013,,0,0,0,0,20,20,0,0,5.7,0,0,,,0,FALSE,FALSE,FALSE
1014,1,كوع فاتح ابلكو 75 ملى,,,,6,1,1,1,1,1014,,0,0,0,0,9.2,9.2,0,0,5.53,5.54,0,,,0,FALSE,FALSE,FALSE
1015,1,كوع فاتح ابلكو 75 ملى (30),3030,,,6,1,1,1,1,1015,ابلكو,0,0,0,0,17.1,17.1,0,0,10.26,10.26,0,,,0,FALSE,FALSE,FALSE
1016,1,كوع سدة ابيض جودة 110ملى,,,,16,1,1,1,1,1016,,0,0,0,0,8.5,8,0,8.5,7.35,0,0,,,0,FALSE,FALSE,FALSE
1018,1,"كوع جمل حار 1""",,,,18,1,1,1,1,1018,,0,0,0,0,4,3,0,0,2.49,0,0,,,0,FALSE,FALSE,FALSE
1019,1,"كوع جمل حار 1/2""",,,,18,1,1,1,1,1019,,0,0,0,0,2,1.75,0,1.8,1.1,1.1,0,,,0,FALSE,FALSE,FALSE
1009,1,كوع ابلكو 160 ملى,,,,6,1,1,1,1,1009,,0,0,0,0,49.9,49.9,29.94,0,29.96,29.99,0,,,0,FALSE,FALSE,FALSE
1012,1,كوع ابلكو 50 ملى,,,,6,1,1,1,1,1012,,0,0,0,0,6.1,6.1,0,0,3.66,3.66,0,,,0,FALSE,FALSE,FALSE
1017,1,كوع جمل قبلان 25مم,,,,9,1,1,1,1,1017,القبلان,0,0,0,0,3.9,3.9,2.16,0,3.9,3.9,0,,,0,FALSE,FALSE,FALSE
102,1,جلبة ابيض 114 ملي ضغط 40,,,,16,1,1,1,1,102,,0,0,0,0,4,3.5,0,0,2.79,2.75,0,,,0,FALSE,FALSE,FALSE
1020,1,كوع جمل تركي 25مم,,,,7,1,1,1,1,1020,انابيب الخضراء,0,0,0,0,4,4,0,0,1.92,1.92,0,,,0,FALSE,FALSE,FALSE
1021,1,"كوع جمل حار 3/4""",,,,18,1,1,1,1,1021,,0,0,0,0,3,2.5,0,2.8,2.57,2.57,0,,,0,FALSE,FALSE,FALSE
1022,1,"كوع ذكر حديد ياباني 1""",,,,14,1,1,1,1,1022,,0,0,0,0,6,5,0,0,4.1,0,0,,,0,FALSE,FALSE,FALSE
1023,1,"كوع ذكر حديد ياباني 2""",,,,14,1,1,1,1,1023,,0,0,0,0,20,20,20,20,18,0,0,,,0,FALSE,FALSE,FALSE
1025,1,"كوع ذكر حديد ياباني 1/4-1""*1""",,,,14,1,1,1,1,1025,,0,0,0,0,14,14,14,14,8,0,0,,,0,FALSE,FALSE,FALSE
1027,1,كوع ريحة ابيض 110 ملى جودة ضغط 40,4050,,,16,1,1,1,1,1027,شركة العمران,0,0,0,0,12,11.5,0,0,11.05,11.05,0,,,0,FALSE,FALSE,FALSE
1028,1,كوع ريحة ابيض 110مم ضغط 40,BPF,,,16,1,1,1,1,1028,,0,0,0,0,10,9.5,8,0,8,8,0,,,0,FALSE,FALSE,FALSE
1024,1,صفاية كلين اوت  15*15 سم المنيوم,,,,3,1,1,1,1,1024,,0,0,0,0,15,13,0,0,8,0,0,,,0,FALSE,FALSE,FALSE
1029,1,كوع ريحة رمادى 110 ملى خليجي,,,,16,1,1,1,1,1029,,0,0,0,0,12,11,0,0,10,10,0,,,0,FALSE,FALSE,FALSE
1026,1,"كوع ذكركروم 1/2""",,,,24,1,1,1,1,1026,,0,0,0,0,5,3.5,0,0,2,2,0,,,0,FALSE,FALSE,FALSE
1030,1,كوع ريحة رمادى 110 ملى نامات,,,,11,1,1,1,1,1030,,0,0,0,0,16,15,0,0,13,0,0,,,0,FALSE,FALSE,FALSE
1031,1,"كوع ريحة ابيض 2"" ضغط 40",,,,16,1,1,1,1,1031,,0,0,0,0,5,4,0,0,2.9,2.8,0,,,0,FALSE,FALSE,FALSE
1032,1,"كوع ريحة ابيض 3"" ضغط 40",,,,16,1,1,1,1,1032,,0,0,0,0,9,8,0,8,6.55,6.75,0,,,0,FALSE,FALSE,FALSE
1037,1,"كوع حديد 1/2-1""يابانى",,,,14,1,1,1,1,1037,,0,0,0,0,10,9,0,0,8,8,0,,,0,FALSE,FALSE,FALSE
1039,1,"كوع بارد 1/2""ضغط80",,,,17,1,1,1,1,1039,,0,0,0,0,1,1,0,0,0.5,0,0,,,0,FALSE,FALSE,FALSE
1035,1,"كوع بارد 1""ضغط 80",,,,17,1,1,1,1,1035,,0,0,0,0,2,1.5,0,0,0.85,0.85,0,,,0,FALSE,FALSE,FALSE
1033,1,كوع بارد 50 ملي ضغط80,,,,17,1,1,1,1,1033,,0,0,0,0,4,3.5,0,0,2.35,2.35,0,,,0,FALSE,FALSE,FALSE
103,1,جلبة ابيض نامات 114 ملى ضغط 40,,,,16,1,1,1,1,103,,0,0,0,0,7,6,0,0,5.95,0,0,,,0,FALSE,FALSE,FALSE
104,1,جلبة ابيض 160 ملي ضغط 40,,,,16,1,1,1,1,104,,0,0,0,0,10,9.5,0,0,7,7,0,,,0,FALSE,FALSE,FALSE
1038,1,"كوع ابيض 1/2"" ضغط 40",,,,16,1,1,1,1,1038,,0,0,0,0,0.5,0.5,0.25,0,0.23,0.23,0,,,0,FALSE,FALSE,FALSE
1036,1,"كوع حار 1""",,,,18,1,1,1,1,1036,,0,0,0,0,2.5,2,0,0,1.39,1.39,0,,,0,FALSE,FALSE,FALSE
1034,1,"كوع ابيض 1"" ضغط 40",,,,16,1,1,1,1,1034,,0,0,0,0,1.5,1,0.8,0,0.53,0.53,0,,,0,FALSE,FALSE,FALSE
1043,1,"كوع بارد 1/4-1""ضغط80",,,,17,1,1,1,1,1043,,0,0,0,0,3,2.5,0,0,1.39,2,0,,,0,FALSE,FALSE,FALSE
1044,1,"كوع ابيض 1/4-1"" ضغط 40",,,,16,1,1,1,1,1044,,0,0,0,0,1.5,1.2,0,1.45,0.8,0,0,,,0,FALSE,FALSE,FALSE
1046,1,كوع ابيض 110 ملي جودة ضغط 40,,,,16,1,1,1,1,1046,,0,0,0,0,7,6.3,0,0,6.2,6.2,0,,,0,FALSE,FALSE,FALSE
1049,1,مغسلة ابيض 099 ستاربلس,,,,21,1,1,1,1,1049,,0,0,0,0,120,100,0,0,90,0,0,,,0,FALSE,FALSE,FALSE
105,1,جلبة ابيض 160 ملى نامات ضغط 40,,,,16,1,1,1,1,105,,0,0,0,0,16,12,0,0,8.97,0,0,,,0,FALSE,FALSE,FALSE
