,ItemNo,AItemName
0,10,جلبة اصلاح ابلكو 200 ملي
1,100,جلبة ابيض 110 ملي ضغط 40
2,1002,كفوف جلد باكستانى
3,1003,كفوف برتقالى خفيف
4,1004,كوع فاتح ابلكو 110 ملى (30)
5,1005,كوع فاتح ابلكو 160 ملى
6,1006,كوع ابلكو 110 ملى
7,1007,كوع فاتح ابلكو 110 ملى (15)
8,1008,كوع فاتح ابلكو 110 ملى
9,1000,كفوف بلاستيك خفيف
10,1001,كفوف بلاستيك ثقيل
11,1,قلب باب خشب صينى ثقيل
12,101,جلبة ابيض 114 ملى جودة ضغط 40
13,1010,كوع فاتح ابلكو 160 ملى (15)
14,1011,كوع فاتح ابلكو 50 ملى
15,1013,"كوع فاتح غاز 1"""
16,1014,كوع فاتح ابلكو 75 ملى
17,1015,كوع فاتح ابلكو 75 ملى (30)
18,1016,كوع سدة ابيض جودة 110ملى
19,1018,"كوع جمل حار 1"""
20,1019,"كوع جمل حار 1/2"""
21,1009,كوع ابلكو 160 ملى
22,1012,كوع ابلكو 50 ملى
23,1017,كوع جمل قبلان 25مم
24,102,جلبة ابيض 114 ملي ضغط 40
25,1020,كوع جمل تركي 25مم
26,1021,"كوع جمل حار 3/4"""
27,1022,"كوع ذكر حديد ياباني 1"""
28,1023,"كوع ذكر حديد ياباني 2"""
29,1025,"كوع ذكر حديد ياباني 1/4-1""*1"""
30,1027,كوع ريحة ابيض 110 ملى جودة ضغط 40
31,1028,كوع ريحة ابيض 110مم ضغط 40
32,1024,صفاية كلين اوت  15*15 سم المنيوم
33,1029,كوع ريحة رمادى 110 ملى خليجي
34,1026,"كوع ذكركروم 1/2"""
35,1030,كوع ريحة رمادى 110 ملى نامات
36,1031,"كوع ريحة ابيض 2"" ضغط 40"
37,1032,"كوع ريحة ابيض 3"" ضغط 40"
38,1037,"كوع حديد 1/2-1""يابانى"
39,1039,"كوع بارد 1/2""ضغط80"
40,1035,"كوع بارد 1""ضغط 80"
41,1033,كوع بارد 50 ملي ضغط80
42,103,جلبة ابيض نامات 114 ملى ضغط 40
43,104,جلبة ابيض 160 ملي ضغط 40
44,1038,"كوع ابيض 1/2"" ضغط 40"
45,1036,"كوع حار 1"""
46,1034,"كوع ابيض 1"" ضغط 40"
47,1043,"كوع بارد 1/4-1""ضغط80"
48,1044,"كوع ابيض 1/4-1"" ضغط 40"
49,1046,كوع ابيض 110 ملي جودة ضغط 40
50,1049,مغسلة ابيض 099 ستاربلس
51,105,جلبة ابيض 160 ملى نامات ضغط 40
52,1050,كوع ابيض نامات 114 ملى ضغط 40
53,1040,"كوع حار 1/2"" ضغط 80"
54,1041,"كوع بارد 1/2-1""ضغط80"
55,1045,"كوع حار 1/4-1""ضغط 80"
56,1047,"كوع فاتح بارد 1""ضغط 80"
57,1048,كوع نامات 110 ملى
58,1051,كوع ابيض 160 ملى ضغط 40
59,1052,كوع نامات 160 ملى
60,1055,"كوع ابيض 2"" ضغط 40"
61,1056,كوع تركي 20 ملى
62,1058,"كوع ابيض 3/4"" ضغط 40"
63,1059,"كوع بارد 3/4""ضغط80"
64,106,"جلبة ابيض 2"" ضغط 40"
65,1061,"سدة حديد 1/4-1"" يابانى"
66,1057,"كوع ابيض 3"" ضغط 40"
67,1053,"كوع بارد 2""ضغط 80"
68,1062,كوع تركي 63 ملى
69,1054,"كوع حار 2"" ضغط 80"
70,1060,"كوع حار 3/4"" ضغط 80"
71,1064,كوع تركي 75مم
72,1066,كوع ابلكو 75 ملى
73,1067,كوع بارد 90 ملي ضغط 80
74,1068,كوع تركي 90 ملى
75,1069,"كوع حديد 3""*1"" يابانى"
76,1072,"كوع حديد 1/2-1""*1"" يابانى"
77,1070,"كوع حديد 1""ياباني"
78,107,"جلبة بارد 2"" ضغط80"
79,1065,كوع بارد 75 ملي ضغط 80
80,1073,"كوع حديد  1/4-1"" يابانى"
81,1063,كوع بارد 63 ملي ضغط80
82,1071,"كوع حديد 1/2"" ياباني"
83,1075,"كوع حديد 3"" ياباني"
84,1078,"كوع حديد 3"" موديل يابانى"
85,1079,كوع تركي 32 ملى
86,108,جلبة ابلكو200 ملي
87,1080,كرسى افرنجى ابيض 038 *30 ستار بلس
88,1081,خلاط مغسلة طويل برونزي 044 ستاربلس
89,1082,خلاط مغسلة طويل كروم 044 ستاربلس
90,1083,خلاط مغسلة طويل ذهبي 044 ستاربلس
91,1074,"كوع حديد 2"" ياباني"
92,1077,كوع قبلان 25 ملى
93,1076,"كوع حديد 3/4"" ياباني"
94,1084,"كوع سنة ابيض 1/2-1"""
95,1085,"كوع سنة تركي 20 * 1/2"""
96,1087,كوع سنة بارد 1/2*1/2
97,1088,"كوع سنة قبلان 32*1"""
98,109,جلبة تركي 20 ملي
99,1090,"كوع سنة حار 1/2"" * 1/2"" نحاس"
100,1091,"كوع سنة حار 3/4"" *1/2"" نحاس"
101,1089,"كوع سنة حار 1"" نحاس ضغط 80"
102,1086,"كوع سنة قبلان 25 *1/2"""
103,1093,كوع فاتح تركي 20 ملى
104,1092,"جلبة حار3/4"""
105,1097,مغسلة ابيض 1905 ستاربلس بدون عمود
106,1099,"كوع فاتح ابيض 1/2""ضغط 40"
107,11,"نقاص حديد 3"" * 2"" موديل"
108,110,جلبة تركي 25 ملي
109,1100,"كوع فاتح حار 1/2"""
110,1101,"كوع فاتح ابيض 1/2-1"" ضغط 40"
111,1098,"كوع فاتح حار 1"""
112,1094,كوع فاتح قبلان 25 ملى
113,1095,كوع فاتح قبلان 32 ملى
114,1102,"كوع فاتح بارد 1/2-1""ضغط80"
115,1096,"كوع فاتح ابيض 1"" ضغط 40"
116,1104,كوع فاتح ابيض 110 ملي جودة
117,1105,كوع فاتح ابيض 110 ملي ضغط 40
118,1106,كرسى افرنجى ابيض 070 ستاربلس ابيض
119,1107,كوع فاتح ابيض جودة 114 ملي ضغط 40
120,1108,كوع فاتح ابيض نامات 114 ملي ضغط 40
121,1109,كوع فاتح ابيض 160 ملي ضغط 40
122,1110,كوع فاتح نامات 160 ملى
123,1103,"كوع فاتح بارد 1/4-1""ضغط80"
124,1112,"كوع فاتح ابيض 2"" ضغط 40"
125,111,"جلبة ابيض 3"" ضغط 40"
126,1111,"كوع فاتح بارد 2""ضغط 80"
127,1113,"كوع فاتح ابيض 3"" ضغط 40"
128,1114,"كوع فاتح حديد 3"" موديل"
129,1116,"كوع فاتح بارد 3/4""ضغط80"
130,1118,كوع فاتح تركي 32 ملى
131,112,"جلبة ابيض 3/4 ""ضغط 40"
132,1120,كوع فاتح بارد 90 ملي ضغط80
133,1122,"كوع فاتح حديد 1"" ياباني"
134,1119,كوع فاتح بارد 75مم ضغط 80
135,1117,"كوع فاتح حار 3/4"""
136,1121,كوع فاتح بارد 50 ملي ضغط80
137,1123,"كوع فاتح حديد 1/2-1"" يابانى"
138,1115,"كوع فاتح ابيض 3/4"" ضغط 40"
139,1124,"كوع فاتح حديد 1/4-1"" يابانى"
140,1125,"كوع فاتح حديد 2"" ياباني"
141,1126,"كوع فاتح غاز 1/2"""
142,1127,"كوع فاتح حديد 1/2"" موديل"
143,1128,كوع فاتح تركي 25 ملى
144,1129,كوع كهرباء طويل 50 مم
145,113,جلبة بارد 3/4 ضغط80
146,1132,كوع كهرباء طويل63 مم
147,1131,كوع كهرباء طويل 90 مم
148,1133,خلاط مغسلة طويل نحاسي 044 ستاربلس
149,1130,كوع كهرباء طويل 75مم
150,1136,كوع لمبة  كبير
151,1137,كوع لمبة برسلان
152,1138,كوع لمبة عادي باكستاني
153,1139,كوع لمبة 400 شمعة
154,114,جلبة كهرباء خفيف 50 ملي
155,1140,"كوع حديد ياباني 1/2 *3/4"""
156,1141,"منظم ضغط ايتاب 2.5"" ايطالي"
157,1142,جلبة ذكركروم 50 ملى
158,1143,ميزان بناء 80 سم
159,1134,كوع كهرباء 20 ملي ايجاء
160,1144,مفتاح رباعى ابيض NAS PLUS
161,1135,كوع كهرباء 25 ملي ايجاء
162,1145,مفتاح مكيف 7*14 سم ابيض NAS PLUS
163,1147,مفتاح رباعى بيج NAS PLUS
164,115,جلبة كهرباء خفيف 63 ملي
