ItemNo,Qnty,ItemNo,Cost,Price,TotalCost,TotalPrice,Profit
1,57,1,37.12236842,46.46052632,2115.975,2648.25,532.275
2,14,2,165.868,175.8,2322.152,2461.2,139.048
3,157,3,329.3375,455.625,51705.9875,71533.125,19827.1375
4,224,4,140.9529412,146.8470588,31573.45882,32893.74118,1320.282353
5,1380,5,0.1,0.382352941,138,527.6470588,389.6470588
6,19,6,1.0425,2.725,19.8075,51.775,31.9675
7,8,7,8.9,8.9,71.2,71.2,0
9,4,9,26.25,37.5,105,150,45
10,18,10,21.608,35.18,388.944,633.24,244.296
11,14,11,10.5,12,147,168,21
12,4,12,60,64.25,240,257,17
13,2,13,70,70,140,140,0
14,39,14,10.44736842,15.68421053,407.4473684,611.6842105,204.2368421
15,5,15,290,450,1450,2250,800
16,102,16,125.3846154,163.8461538,12789.23077,16712.30769,3923.076923
17,24,17,75,69.33333333,1800,1664,-136
18,86,18,238.1034483,288.7931034,20476.89655,24836.2069,4359.310345
19,2,19,70,100,140,200,60
20,2,20,64.95,65,129.9,130,0.1
21,27,21,40,45.90909091,1080,1239.545455,159.5454545
22,7,22,45,58,315,406,91
23,1,23,50,45,50,45,-5
24,379,24,17.60212121,24.65757576,6671.203939,9345.221212,2674.017273
25,262,25,3.376285714,6.902285714,884.5868571,1808.398857,923.812
26,58,26,58.57575758,73.93939394,3397.393939,4288.484848,891.0909091
27,53,27,285.4512195,325.6097561,15128.91463,17257.31707,2128.402439
28,101,28,28.07405797,50.65217391,2835.479855,5115.869565,2280.38971
29,26,29,56.43478261,77.60869565,1467.304348,2017.826087,550.5217391
30,69.18,30,222.51,234.5833333,15393.2418,16228.475,835.2332
31,1272,31,5.686829268,7.284523282,7233.646829,9265.913614,2032.266785
32,39,32,170.1905263,187.3157895,6637.430526,7305.315789,667.8852632
33,1253,33,7.110416667,9.669305556,8909.352083,12115.63986,3206.287778
34,137,34,8.758141593,14.87079646,1199.865398,2037.299115,837.4337168
35,87,35,238.9516129,245.2419355,20788.79032,21336.04839,547.2580645
36,59,36,120,137.6923077,7080,8123.846154,1043.846154
37,8,37,158,165.125,1264,1321,57
38,1,38,931.8,1553,931.8,1553,621.2
39,20,39,3.438181818,8.636363636,68.76363636,172.7272727,103.9636364
40,450,40,3.75,4.5,1687.5,2025,337.5
41,5703,41,10.63475519,15.10398368,60650.00886,86138.01892,25488.01006
42,292,42,9.176136364,11.48863636,2679.431818,3354.681818,675.25
43,129,43,5.5,8.789473684,709.5,1133.842105,424.3421053
44,182,44,7.142857143,9.571428571,1300,1742,442
45,118,45,6.875,10.53333333,811.25,1242.933333,431.6833333
46,27,46,16.41470588,25.29411765,443.1970588,682.9411765,239.7441176
47,10,47,45,50,450,500,50
48,87,48,48.41025641,64.35897436,4211.692308,5599.230769,1387.538462
49,110,49,27.51219512,35.6097561,3026.341463,3917.073171,890.7317073
50,1,50,3.5,1,3.5,1,-2.5
52,5,52,143,204,715,1020,305
53,1,53,70,80,70,80,10
54,635,54,0.279137931,2.969827586,177.2525862,1885.840517,1708.587931
55,765,55,0.6159375,2.636328125,471.1921875,2016.791016,1545.598828
56,61,56,7.583333333,15.41666667,462.5833333,940.4166667,477.8333333
57,627,57,20.07341772,25.12658228,12586.03291,15754.36709,3168.334177
58,14,58,1850,2007,25900,28098,2198
59,38,59,22.5,41.5,855,1577,722
61,1658,61,4.101414343,7.448207171,6800.14498,12349.12749,5548.98251
62,1,62,120,130,120,130,10
63,85,63,8.690851064,10,738.7223404,850,111.2776596
64,84,64,4.5,7.363636364,378,618.5454545,240.5454545
65,28,65,17.88235294,29.17647059,500.7058824,816.9411765,316.2352941
66,60,66,171.875,204.0625,10312.5,12243.75,1931.25
