InvoiceDate,Total
2/7/2012,552.73
12/14/2013,1827
12/16/2013,730.8
12/22/2013,2545.6
12/24/2013,5800
12/25/2013,4572.9
1/4/2014,15462.41
1/5/2014,2790
1/8/2014,395
1/11/2014,4596.9
1/16/2014,14027.2
1/20/2014,9846.44
1/23/2014,1566.4
1/29/2014,672.1
2/9/2014,2436
2/10/2014,8031
2/13/2014,3776.8
2/23/2014,4112.25
2/26/2014,3198
3/9/2014,5013.75
3/17/2014,8906.94
3/23/2014,5070
3/30/2014,3927.34
4/5/2014,4892.13
4/6/2014,1339.45
4/13/2014,202.4
4/15/2014,11323.85
4/16/2014,1560
4/19/2014,2209.4
4/20/2014,14620
4/22/2014,2698
4/27/2014,5206.5
4/29/2014,437.5
5/4/2014,4028.15
5/7/2014,3764.5
5/12/2014,5155
5/14/2014,985.5
5/17/2014,855
5/18/2014,3326
5/19/2014,3520
5/20/2014,2711
5/22/2014,1220
5/25/2014,7057.1
5/29/2014,2003.5
6/3/2014,3702
6/7/2014,170.5
6/8/2014,1008
6/9/2014,8674.3
6/11/2014,4128.75
6/14/2014,2740
6/24/2014,1015.55
6/25/2014,1160.6
6/26/2014,9190.55
6/28/2014,11415.5
6/30/2014,1827
7/4/2014,370
7/13/2014,360
7/16/2014,12699.7
7/18/2014,2900.8
8/4/2014,2410.75
8/5/2014,3901.95
8/6/2014,10562.09
8/9/2014,194.7
8/11/2014,8607.25
8/13/2014,3388.5
8/17/2014,279.8
8/20/2014,1300
8/23/2014,2775
8/24/2014,16790.75
8/28/2014,4310.5
9/2/2014,510
9/3/2014,1741.25
9/4/2014,12043.05
9/7/2014,809.2
9/14/2014,2350
9/15/2014,3335
9/16/2014,275
9/28/2014,5751
10/11/2014,1583
10/25/2014,3050
9/27/2017,1449.2
10/18/2017,625
11/7/2017,321.5
11/18/2017,16
11/30/2017,1098
12/30/2017,120
1/29/2018,188.6
10/13/2019,324
