InvoiceDate,Total
1/2/2012,80123.25
1/3/2012,500
1/7/2012,7663.36
1/10/2012,40600.87
1/11/2012,3013.6
1/12/2012,14716.15
1/14/2012,16215.15
1/15/2012,33110
1/16/2012,4848.8
1/17/2012,3420.4
1/18/2012,86600.4
1/19/2012,509.2
1/21/2012,8162.4
1/22/2012,29399.18
1/23/2012,812.5
1/24/2012,13535.95
1/25/2012,2819.84
1/26/2012,1014
1/28/2012,5534.3
1/29/2012,1623.1
1/30/2012,4372
1/31/2012,523.5
2/1/2012,1876.61
2/2/2012,5943.05
2/4/2012,14824.65
2/5/2012,3317
2/6/2012,545
2/8/2012,863.8
2/11/2012,867.5
2/12/2012,13170.75
2/13/2012,18011.95
2/14/2012,13233.6
2/15/2012,56187.65
2/16/2012,78
2/18/2012,8082.5
2/19/2012,11456.3
2/21/2012,6297.65
2/22/2012,46734.65
2/23/2012,6767.5
2/26/2012,151
2/27/2012,304.5
3/1/2012,250
3/3/2012,514
3/5/2012,379
3/17/2012,19635.14
3/26/2012,19137.9
4/2/2012,590
4/4/2012,56502.62
4/15/2012,14567.5
4/17/2012,8212.1
4/18/2012,8598.55
4/22/2012,3817.8
4/23/2012,5038
4/30/2012,16802.71
5/2/2012,11435
5/11/2012,3698.2
5/17/2012,799
5/22/2012,2017.92
5/24/2012,1075.2
5/27/2012,21767.85
6/2/2012,4430.73
6/6/2012,18052.59
6/14/2012,21890
6/30/2012,43335.75
7/2/2012,3060.85
7/3/2012,2547
7/6/2012,33648.58
7/8/2012,15983
8/3/2012,234
8/8/2012,15763.81
8/11/2012,1005
9/2/2012,9856.93
9/9/2012,29025.22
9/10/2012,9513.6
9/12/2012,5170.6
9/15/2012,27908.75
9/22/2012,1209.6
9/23/2012,1668.8
9/27/2012,367
9/30/2012,22015.47
10/1/2012,4190
10/14/2012,1318
10/17/2012,55777.35
10/18/2012,5971.35
10/20/2012,396
10/22/2012,14011.6
10/23/2012,7559.45
10/24/2012,320
10/29/2012,287
11/2/2012,17744.57
11/3/2012,5745.25
11/7/2012,4434
11/10/2012,764
11/11/2012,1422
11/13/2012,1698
11/18/2012,31448.64
11/21/2012,500
11/27/2012,8769
11/28/2012,11377
11/29/2012,42335.75
12/2/2012,1468.4
12/3/2012,1474
12/7/2012,25737.24
12/11/2012,85050
12/23/2012,5534.1
1/4/2013,25572.5
1/7/2013,36
1/9/2013,4293.61
1/20/2013,62500.55
1/21/2013,7630
1/22/2013,14670.79
2/4/2013,25172
2/23/2013,95294.35
3/6/2013,2112.5
3/7/2013,6515
3/9/2013,2065
3/14/2013,25823.82
3/16/2013,2755
3/17/2013,590
3/18/2013,1200
3/25/2013,5189.05
3/30/2013,20721.25
4/2/2013,81538.99
4/5/2013,1407
4/6/2013,986.2
4/7/2013,3616.1
4/8/2013,4084
4/9/2013,11342
4/24/2013,34154.93
4/29/2013,2300.5
4/30/2013,173
5/6/2013,6188.4
5/8/2013,19941.28
5/9/2013,25
5/14/2013,6019
5/18/2013,2783.5
5/21/2013,8716.3
6/5/2013,45084.81
6/7/2013,8019.45
6/20/2013,70651.97
6/26/2013,648
6/29/2013,2105.6
6/30/2013,2441
7/7/2013,201
7/8/2013,2289.33
7/9/2013,12669.76
7/14/2013,270
7/17/2013,11980
7/21/2013,793.4
8/4/2013,15666.75
8/9/2013,1014.2
8/13/2013,14543.25
8/14/2013,3951
8/15/2013,10720.25
8/17/2013,21115.25
8/18/2013,316945
8/19/2013,1935.23
8/20/2013,5186.61
8/21/2013,7485
8/22/2013,114
8/24/2013,453
8/25/2013,54919.5
8/26/2013,13579.5
8/27/2013,15092
8/28/2013,10272.7
9/3/2013,1300
9/9/2013,2463
9/19/2013,209.5
9/22/2013,5528.5
9/28/2013,4432.7
10/1/2013,1683
10/2/2013,3495.5
10/3/2013,124806.87
10/5/2013,9260.635
10/6/2013,2337.05
10/7/2013,3915.5
10/8/2013,11691.2
10/9/2013,20798.42
10/10/2013,37424.749
10/12/2013,5453.64
10/13/2013,11535.27
10/19/2013,50533.05
10/20/2013,42378.85
10/21/2013,27497.48
10/22/2013,79108.77
10/23/2013,29788.26
10/24/2013,43751.93
10/26/2013,43518.45
10/27/2013,87000.19
10/28/2013,24265.5
10/29/2013,24134.79
10/30/2013,75676.53
10/31/2013,61891.705
11/2/2013,45865.41
11/3/2013,18337.44
11/4/2013,7413.19
11/5/2013,108996.15
11/6/2013,12789.79
11/7/2013,22312.48
11/8/2013,17720.28
11/9/2013,36749.092
11/10/2013,15999.95
11/11/2013,41774.225
11/12/2013,17165.225
11/13/2013,78891.41
11/14/2013,33691.42
11/16/2013,54469.56
11/17/2013,23135.63
11/18/2013,47505.55
11/19/2013,52833.34
11/20/2013,24264.09
11/21/2013,35921.43
11/23/2013,39291.2395
11/24/2013,49292.84
11/25/2013,45038.37
11/26/2013,93204.3492
11/27/2013,44502.27
11/28/2013,30545.12
11/30/2013,39197.855
12/1/2013,27987.93
12/2/2013,48148.37
12/3/2013,104357.78
12/4/2013,61479.85
12/5/2013,32952.5925
12/7/2013,25470.99
12/8/2013,25433.23
12/9/2013,27876.58
12/10/2013,40519.24
12/11/2013,32234.32
12/12/2013,21024.51
12/14/2013,22462.02
12/15/2013,13585.433
12/16/2013,35641.52
12/17/2013,45688.691
12/18/2013,13158.115
12/19/2013,27845.33
12/21/2013,55468.04
12/22/2013,19493.14
12/23/2013,30749.92
12/24/2013,30078.81
12/25/2013,14855.9
12/26/2013,35655.26
12/28/2013,30995.05
12/29/2013,46113.12
12/30/2013,27759.7013
12/31/2013,16921.24
1/1/2014,649
1/4/2014,27086.2219
1/5/2014,35081.876
1/6/2014,16600.2
1/7/2014,16708.82
1/8/2014,14932.34
1/9/2014,23145.2
1/11/2014,26636.83
1/12/2014,41738.72
1/13/2014,47314.066
1/14/2014,24093.59
1/15/2014,8496.824
1/16/2014,32883.69
1/18/2014,40448.53
1/19/2014,8719.077
1/20/2014,10737.37
1/21/2014,16918.96
1/22/2014,11289.47
1/23/2014,17278.02
1/25/2014,30101.57
1/26/2014,13769.432
1/27/2014,36506.9116
1/28/2014,40646.801
1/29/2014,14621.806
1/30/2014,34825.14
2/1/2014,33930.15
2/2/2014,32147.35
2/3/2014,6711.556
2/4/2014,17848.15
2/5/2014,27188.725
2/6/2014,34017.21
2/8/2014,31634.58
2/9/2014,11612.78
2/10/2014,15695.08
2/11/2014,24812.859
2/12/2014,8035.28
2/13/2014,10673.92
2/15/2014,10317.95
2/16/2014,18636.063
2/17/2014,19948.484
2/18/2014,29129.678
2/19/2014,24067.09
2/20/2014,3741.4562
2/22/2014,10492.7042
2/23/2014,34708.26
2/24/2014,13182.211
2/25/2014,10859.55
2/26/2014,8087.3217
2/27/2014,27527.33
3/1/2014,9223.4
3/2/2014,34767.77
3/3/2014,72039.263
3/4/2014,3963.45
3/5/2014,17305.2249
3/6/2014,42461.675
3/8/2014,12845.08
3/9/2014,12704.33
3/10/2014,5684.39
3/11/2014,11512.47
3/12/2014,9292.93
3/13/2014,11428.787
3/15/2014,8221.3
3/16/2014,21890.66
3/17/2014,8770.15
3/18/2014,25845.34
3/19/2014,15373.0606
3/20/2014,23883.3
3/22/2014,28002.9675
3/23/2014,18936.04
3/24/2014,16267.8073
3/25/2014,19422.077
3/26/2014,32085.61
3/27/2014,10746.5
3/29/2014,26170.98
3/30/2014,17521.65
3/31/2014,26054.62
4/1/2014,23808.96
4/2/2014,20115.69
4/3/2014,24716.84
4/5/2014,19684.95
4/6/2014,9347.0385
4/7/2014,25491.94
4/8/2014,20224.28
4/9/2014,10083.57
4/10/2014,15138.21
4/12/2014,21028.395
4/13/2014,22085.21
4/14/2014,31562.79
4/15/2014,32886.072
4/16/2014,30483.33
4/17/2014,23834.405
4/19/2014,15055.5
4/20/2014,6917.84
4/21/2014,34104.85
4/22/2014,46661.24
4/23/2014,6425.58
4/24/2014,16618.68
4/26/2014,12770.32
4/27/2014,11395.77
4/28/2014,34102.04
4/29/2014,20246.97
4/30/2014,12645.6
5/1/2014,13565.3008
5/3/2014,7026.955
5/4/2014,49159.5558
5/5/2014,11694.13
5/6/2014,18135.4
5/7/2014,12658.532
5/8/2014,20351.2019
5/10/2014,17602
5/11/2014,14404.1396
5/12/2014,35486.145
5/13/2014,10169.85
5/14/2014,15511.225
5/15/2014,8836.56
5/17/2014,14724.11
5/18/2014,30148.6522
5/19/2014,36911.95
5/20/2014,20076.955
5/21/2014,17745.15
5/22/2014,25819.4911
5/24/2014,16018.15
5/25/2014,20495.085
5/26/2014,13245.38
5/27/2014,4549.228
5/28/2014,9680.6
5/29/2014,7987.71
5/31/2014,11754.822
6/1/2014,11318.37
6/2/2014,22306.067
6/3/2014,8252
6/4/2014,10671.65
6/5/2014,13290.5594
6/7/2014,33961.675
6/8/2014,15969.66
6/9/2014,19995.47
6/10/2014,34996.608
6/11/2014,10934.64
6/12/2014,8808.08
6/14/2014,13352.333
6/15/2014,12947.8
6/16/2014,12298.5
6/17/2014,13786.5
6/18/2014,19290.91
6/19/2014,15495.31
6/21/2014,26710.38
6/22/2014,24395.18
6/23/2014,26558.96
6/24/2014,22030.79
6/25/2014,8260.36
6/26/2014,28048.31
6/28/2014,17714.88
6/29/2014,8222.34
6/30/2014,6608
7/1/2014,6554.95
7/2/2014,4655.66
7/3/2014,12493.98
7/4/2014,877.9
7/5/2014,8472.64
7/6/2014,8911.39
7/7/2014,4149.46
7/8/2014,6949.96
7/9/2014,3925.03
7/10/2014,2240.32
7/11/2014,2145.77
7/12/2014,4413.6
7/13/2014,7628.833
7/14/2014,6392.75
7/15/2014,12132.8555
7/16/2014,4356.931
7/17/2014,6749.46
7/18/2014,191
7/19/2014,22982.28
7/20/2014,44974.83
7/21/2014,12847
7/22/2014,17159.31
7/23/2014,4544.48
7/24/2014,2007.53
7/26/2014,8177.25
7/27/2014,30
7/31/2014,1187
8/2/2014,5015.76
8/3/2014,14840.51
8/4/2014,10488.125
8/5/2014,20629.85
8/6/2014,13744.133
8/7/2014,6889.3285
8/9/2014,11472.77
8/10/2014,13838.42
8/11/2014,16697.046
8/12/2014,22035.49
8/13/2014,19720.73
8/14/2014,6493.58
8/16/2014,8590.27
8/17/2014,13625.14
8/18/2014,8855.45
8/19/2014,7848.318
8/20/2014,8030.73
8/21/2014,11607.4915
8/23/2014,14364.06
8/24/2014,28966.69
8/25/2014,14455.95
8/26/2014,10437.49
8/27/2014,23385.52
8/28/2014,11030.2575
8/30/2014,23727.87
8/31/2014,30473.4
9/1/2014,18010.92
9/2/2014,12658.5561
9/3/2014,14002.17
9/4/2014,7212.52
9/6/2014,44178.175
9/7/2014,14584.55
9/8/2014,29021.02
9/9/2014,44747.61
9/10/2014,36198.016
9/11/2014,8063.13
9/13/2014,24909.95
9/14/2014,15912.6672
9/15/2014,10807.32
9/16/2014,38520.285
9/17/2014,32328.574
9/18/2014,8713.95
9/20/2014,17185.47
9/21/2014,5609.6
9/22/2014,16381.65
9/23/2014,12713.29
9/24/2014,9629.36
9/25/2014,19231.7455
9/27/2014,16821.42
9/28/2014,15626.05
9/29/2014,16132.99
9/30/2014,5184.7
10/1/2014,3771.5
10/2/2014,5474.55
10/7/2014,5507.4
10/8/2014,22944.328
10/9/2014,45820.765
10/11/2014,14539.75
10/12/2014,14252.95
10/13/2014,12304.55
10/14/2014,41940.25
10/15/2014,4173.1
10/16/2014,32005.2
10/18/2014,53002.315
10/19/2014,26181.55
10/20/2014,38215.82
10/21/2014,31808.47
10/22/2014,13901.103
10/23/2014,9033.94
10/25/2014,11114.42
10/26/2014,16159.59
10/27/2014,30190.73
10/28/2014,7714.95
10/29/2014,840
11/6/2014,302
11/29/2014,223
12/6/2014,141.6
12/24/2014,715
2/19/2015,396.5
2/25/2015,412.4
3/3/2015,3200
8/27/2015,333.96
1/10/2016,5
1/8/2017,57.5
1/10/2017,12481.3
1/11/2017,16764.7955
1/12/2017,195
1/29/2017,9932.83
1/30/2017,8409.74
1/31/2017,19821.78
2/1/2017,26944.1
2/2/2017,12049.79
2/4/2017,15629.436
2/5/2017,21594.3855
2/6/2017,12347.806
2/7/2017,27948.09
2/8/2017,27046.4
2/9/2017,11630.9055
2/11/2017,10554.8076
2/12/2017,76402.9575
2/13/2017,16422.42
2/14/2017,13565.286
2/15/2017,7844.15
2/16/2017,9139.53
2/18/2017,6354.64
2/19/2017,16117.55
2/20/2017,8360.235
2/21/2017,4148.66
2/22/2017,2696.9
2/25/2017,45.82
2/27/2017,7230
5/1/2017,251
8/21/2017,891
8/22/2017,12846.14
8/23/2017,15801.359
8/24/2017,8362.9
8/26/2017,7281.5
8/27/2017,18914.56
8/28/2017,8725.16
8/29/2017,8403.6055
8/30/2017,9447.25
9/4/2017,4481.868
9/5/2017,6880.2
9/6/2017,17887.7
9/7/2017,13013.38
9/9/2017,8634.59
9/10/2017,9307.2
9/11/2017,3383.7
9/12/2017,7938.92
9/13/2017,11146.85
9/14/2017,6711.18
9/16/2017,15133.15
9/17/2017,9853.655
9/18/2017,2627.43
9/19/2017,12956.66
9/20/2017,14464.84
9/21/2017,12608.7
9/23/2017,11527.73
9/24/2017,9147.1621
9/25/2017,21056.94
9/26/2017,27914.79
9/27/2017,9959.815
9/28/2017,38365.74
9/30/2017,7909.93
10/1/2017,7242.33
10/2/2017,8599
10/3/2017,6660.74
10/4/2017,22512.82
10/5/2017,6754.553
10/7/2017,14382.3472
10/8/2017,5137.41
10/9/2017,9486.23
10/10/2017,30816.715
10/11/2017,19018.7761
10/12/2017,6736.096
10/14/2017,9053.15
10/15/2017,16266.55
10/16/2017,10330.71
10/17/2017,20868.48
10/18/2017,15702.7
10/19/2017,13509.11
10/21/2017,27310.685
10/22/2017,12867.5425
10/23/2017,16845.59
10/24/2017,20902.66
10/25/2017,15494.95
10/26/2017,9691.31
10/28/2017,54600.99
10/29/2017,23579.73
10/30/2017,28835.4161
10/31/2017,8662.51
11/1/2017,39005.6
11/2/2017,10720.09
11/4/2017,17034.84
11/5/2017,13465.46
11/6/2017,16826.71
11/7/2017,37904.343
11/8/2017,18099.704
11/9/2017,20940.84
11/11/2017,11194.13
