InvoiceDate,Total
1/14/2012,907.5
1/25/2012,295
12/29/2013,150
1/16/2014,141.2
1/18/2014,150
1/23/2014,445
1/25/2014,407
1/29/2014,740
1/30/2014,89.38
2/4/2014,489
2/12/2014,936
2/13/2014,2136.75
2/16/2014,801.5
2/17/2014,551
2/26/2014,2939.76
3/2/2014,584.5
3/10/2014,102
3/24/2014,274.6
3/25/2014,1227
3/26/2014,62.56
3/27/2014,98.48
4/2/2014,262.5
4/6/2014,486.66
4/7/2014,3016
4/8/2014,1045
4/10/2014,170
4/13/2014,224
4/14/2014,750
4/21/2014,9
4/23/2014,360.68
4/24/2014,2438
4/26/2014,408
4/27/2014,233.98
4/29/2014,847.26
4/30/2014,47.5
5/4/2014,122
5/6/2014,24
5/7/2014,143
5/10/2014,100
5/13/2014,58.95
5/21/2014,1441.5
5/22/2014,725.2
5/27/2014,3851.46
5/28/2014,1192.5
6/7/2014,70
6/14/2014,839.55
6/19/2014,242.5
6/21/2014,836
6/30/2014,1955.6
7/1/2014,1219.9
7/4/2014,1276.52
7/10/2014,340.38
7/17/2014,255
7/22/2014,2069.7
8/2/2014,245.2
8/9/2014,200
8/18/2014,926
8/19/2014,4258.1
8/21/2014,1200
8/27/2014,1350
8/28/2014,9524.08
8/30/2014,280
8/31/2014,1092.9
9/1/2014,1195
9/4/2014,360
9/7/2014,280
9/8/2014,823.48
9/11/2014,1243.1
9/14/2014,2118.5
9/17/2014,1290
9/21/2014,125
9/27/2014,10057.86
9/28/2014,1112
9/29/2014,2790.5
10/8/2014,230
10/12/2014,6085
10/13/2014,225
10/14/2014,2660
10/20/2014,2646.5
10/25/2014,505.65
10/26/2014,1350
10/27/2014,84
1/11/2017,80
2/2/2017,51
2/6/2017,232
2/16/2017,281
2/20/2017,300
8/22/2017,13
8/24/2017,230
8/26/2017,1478
8/29/2017,108
9/5/2017,120
9/6/2017,1326.25
9/7/2017,1213.25
9/9/2017,3908.75
9/10/2017,1258.56
9/11/2017,130.3
9/12/2017,1444.5
9/13/2017,799
9/14/2017,238
9/17/2017,4176
9/18/2017,9687
9/19/2017,253.75
9/21/2017,1747
9/24/2017,4800.4
9/25/2017,818.05
9/27/2017,79.5
10/4/2017,333.35
10/5/2017,630
10/8/2017,440
10/12/2017,1374
10/14/2017,120
10/15/2017,804.31
10/16/2017,323.93
10/23/2017,180
10/25/2017,1160
10/26/2017,1024.875
