InvoiceDate,Total
1/12/2014,375
4/2/2014,210
4/29/2014,1879.1
4/30/2014,53.6
5/1/2014,30
5/8/2014,1273.5
5/10/2014,613
5/12/2014,4109
5/14/2014,106.3
5/15/2014,3784.9
5/17/2014,983
5/19/2014,2345.4
5/20/2014,3762.1
5/21/2014,1275
5/22/2014,4139
5/24/2014,540
5/25/2014,250
5/26/2014,156.5
5/27/2014,1200
5/31/2014,2400
6/2/2014,17446
6/4/2014,1361.5
6/5/2014,474.25
6/7/2014,323
6/8/2014,3518.4
6/9/2014,3100
6/11/2014,227
6/14/2014,4968.5
6/15/2014,3175.5
6/16/2014,405
6/17/2014,1249
6/19/2014,6390
6/21/2014,6595.5
6/22/2014,250
6/23/2014,2808.2
6/24/2014,14636.98
6/25/2014,2399
6/28/2014,2264
6/30/2014,586.7
7/1/2014,271.94
7/3/2014,220
7/7/2014,1694.93
7/8/2014,5362.3
7/10/2014,1974
7/13/2014,6389
7/14/2014,11702.88
7/15/2014,983.9
7/17/2014,1302
7/22/2014,2338.8
7/23/2014,7387.6
8/4/2014,8264.4
8/5/2014,1948.56
8/6/2014,7118
8/9/2014,350
8/10/2014,275
8/11/2014,2395.8966
8/13/2014,3231.5
8/14/2014,70
8/16/2014,2613.6
8/17/2014,1662
8/18/2014,875
8/19/2014,11126.42
8/20/2014,853
8/21/2014,488
8/23/2014,1023.76
8/24/2014,617.84
8/25/2014,4841.5
8/27/2014,10379.7
8/28/2014,20912.22
8/30/2014,700
8/31/2014,322.92
9/1/2014,30011.4
9/2/2014,3646.32
9/3/2014,19054.92
9/4/2014,226
9/6/2014,5483
9/7/2014,1586.42
9/9/2014,17875.5
9/10/2014,8353
9/13/2014,3255
9/14/2014,352
9/16/2014,3933.82
9/17/2014,752.84
9/18/2014,4419.8
9/22/2014,376
9/23/2014,10455.9416
9/24/2014,1727
9/25/2014,495.5
9/28/2014,1148.22
9/29/2014,1904
10/1/2014,175.9
10/11/2014,1464.5
10/12/2014,1384.76
10/13/2014,257.94
10/14/2014,23803.22
10/18/2014,1624.542
10/20/2014,1576.2
10/21/2014,2348.571
10/25/2014,3428.12
10/26/2014,4958.56
4/12/2015,3970
1/11/2017,1380
1/31/2017,75
2/4/2017,2169
2/6/2017,835
2/7/2017,80
2/12/2017,1200
2/15/2017,48
2/16/2017,11014.32
2/18/2017,155
2/19/2017,75
2/20/2017,2006.45
8/23/2017,3250
8/29/2017,474
9/9/2017,15658
9/10/2017,83
9/12/2017,820
9/14/2017,1477.15
9/16/2017,846
9/19/2017,1958
9/20/2017,123
9/26/2017,440
10/3/2017,1536.55
10/8/2017,520.5
10/9/2017,140
10/14/2017,325
10/16/2017,60
