InvoiceDate,Qnty
2012-01-28,20.0
2012-01-29,200.0
2012-02-07,100.0
2012-05-22,200.0
2013-10-20,220.0
2013-10-23,100.0
2013-10-28,200.0
2013-11-17,460.0
2013-11-18,80.0
2013-11-19,80.0
2013-11-20,150.0
2013-11-25,250.0
2013-11-26,200.0
2013-11-27,125.0
2013-11-28,240.0
2013-12-02,240.0
2013-12-03,200.0
2013-12-05,694.0
2013-12-07,100.0
2013-12-08,20.0
2013-12-09,160.0
2013-12-12,500.0
2013-12-18,200.0
2013-12-22,20.0
2013-12-23,130.0
2013-12-24,320.0
2013-12-25,200.0
2014-01-08,200.0
2014-01-09,200.0
2014-01-23,240.0
2014-01-26,120.0
2014-01-28,50.0
2014-02-01,80.0
2014-02-04,360.0
2014-02-06,500.0
2014-02-10,65.0
2014-02-12,88.0
2014-02-16,20.0
2014-02-17,40.0
2014-02-25,40.0
2014-02-26,100.0
2014-03-15,40.0
2014-03-17,300.0
2014-03-18,240.0
2014-03-22,280.0
2014-03-23,25.0
2014-03-26,160.0
2014-04-02,320.0
2014-04-03,126.0
2014-04-05,80.0
2014-04-06,240.0
2014-04-07,40.0
2014-04-08,200.0
2014-04-09,880.0
2014-04-16,235.0
2014-04-17,40.0
2014-04-19,80.0
2014-04-21,240.0
2014-04-23,80.0
2014-04-24,660.0
2014-04-27,1.0
2014-04-30,100.0
2014-05-03,280.0
2014-05-05,15.0
2014-05-07,200.0
2014-05-12,100.0
2014-05-13,40.0
2014-05-14,25.0
2014-05-19,50.0
2014-05-20,30.0
2014-05-21,240.0
2014-05-25,300.0
2014-05-26,75.0
2014-05-27,40.0
2014-06-08,400.0
2014-06-15,300.0
2014-06-18,550.0
2014-06-21,200.0
2014-06-24,120.0
2014-06-25,340.0
2014-06-28,400.0
2014-06-29,370.0
2014-06-30,200.0
2014-07-03,200.0
2014-07-04,200.0
2014-07-06,400.0
2014-07-07,280.0
2014-07-09,240.0
2014-07-14,370.0
2014-07-16,120.0
2014-07-22,20.0
2014-07-23,700.0
2014-08-03,300.0
2014-08-05,160.0
2014-08-06,250.0
2014-08-11,500.0
2014-08-12,50.0
2014-08-16,3.0
2014-08-17,30.0
2014-08-18,80.0
2014-08-24,100.0
2014-08-25,80.0
2014-08-26,200.0
2014-08-27,300.0
2014-08-30,60.0
2014-09-02,230.0
2014-09-06,28.0
2014-09-07,40.0
2014-09-10,30.0
2014-09-11,60.0
2014-09-13,680.0
2014-09-14,300.0
2014-09-15,3.0
2014-09-18,160.0
2014-09-20,25.0
2014-09-22,105.0
2014-09-25,10.0
2014-09-28,40.0
2014-10-14,40.0
2014-10-19,50.0
2014-10-21,40.0
2014-10-23,40.0
2014-10-26,25.0
2014-10-30,230.0
2014-11-03,20.0
2014-11-04,40.0
2014-11-05,500.0
2014-11-06,50.0
2014-11-08,40.0
2014-11-11,40.0
2014-11-13,175.0
2014-11-15,410.0
2014-11-16,2.0
2014-11-23,200.0
2014-11-25,5.0
2014-11-26,520.0
2014-12-01,30.0
2014-12-03,30.0
2014-12-04,1.0
2014-12-06,80.0
2014-12-08,600.0
2014-12-09,80.0
2014-12-10,105.0
2014-12-13,100.0
2014-12-14,120.0
2014-12-15,400.0
2014-12-17,160.0
2014-12-20,15.0
2014-12-23,150.0
2014-12-29,50.0
2015-01-01,200.0
2015-01-07,320.0
2015-01-11,100.0
2015-01-12,80.0
2015-01-13,137.0
2015-01-14,22.0
2015-01-17,80.0
2015-01-18,120.0
2015-01-19,200.0
2015-01-20,120.0
2015-01-21,80.0
2015-01-22,20.0
2015-01-25,40.0
2015-01-27,40.0
2015-01-28,200.0
2015-02-02,500.0
2015-02-03,155.0
2015-02-05,50.0
2015-02-09,80.0
2015-02-10,120.0
2015-02-14,45.0
2015-02-17,80.0
2015-02-19,105.0
2015-02-21,40.0
2015-02-23,25.0
2015-02-28,135.0
2015-03-01,15.0
2015-03-02,80.0
2015-03-03,20.0
2015-03-04,200.0
2015-03-07,40.0
2015-03-08,50.0
2015-03-09,40.0
2015-03-10,120.0
2015-03-14,70.0
2015-03-15,300.0
2015-03-16,100.0
2015-03-24,80.0
2015-03-25,50.0
2015-03-28,200.0
2015-03-29,290.0
2015-03-30,80.0
2015-04-01,80.0
2015-04-11,200.0
2015-04-12,400.0
2015-04-13,240.0
2015-04-14,40.0
2015-04-15,130.0
2015-04-16,240.0
2015-04-18,320.0
2015-04-19,80.0
2015-04-20,20.0
2015-04-26,120.0
2015-05-05,40.0
2015-05-06,80.0
2015-05-07,50.0
2017-01-10,220.0
2017-01-11,100.0
2017-01-17,200.0
2017-01-18,40.0
2017-01-30,420.0
2017-01-31,80.0
2017-02-01,230.0
2017-02-06,250.0
2017-02-07,200.0
2017-02-08,205.0
2017-02-09,160.0
2017-02-12,240.0
2017-02-13,200.0
2017-02-15,694.0
2017-02-16,100.0
2017-02-18,20.0
2017-02-19,160.0
2017-02-21,500.0
2017-02-26,200.0
2017-03-01,80.0
2017-03-02,50.0
2017-03-04,320.0
2017-03-06,200.0
2017-03-14,20.0
2017-03-16,200.0
2017-03-18,200.0
2017-03-30,240.0
2017-04-02,120.0
2017-04-04,50.0
2017-04-06,80.0
2017-04-10,360.0
2017-04-12,500.0
2017-04-15,65.0
2017-04-17,88.0
2017-04-19,20.0
2017-04-20,40.0
2017-04-26,40.0
2017-04-27,60.0
2017-04-29,40.0
2017-05-09,40.0
2017-05-10,300.0
2017-05-13,240.0
2017-05-15,280.0
2017-05-17,25.0
2017-05-20,160.0
2017-05-25,440.0
2017-05-28,86.0
2017-05-30,40.0
2017-05-31,200.0
2017-06-01,40.0
2017-06-03,200.0
2017-06-06,880.0
2017-06-15,185.0
2017-06-17,50.0
2017-06-18,40.0
2017-06-20,80.0
2017-06-29,240.0
2017-07-01,80.0
2017-07-02,580.0
2017-07-03,80.0
2017-07-09,100.0
2017-07-10,280.0
2017-07-12,15.0
2017-07-15,200.0
2017-07-19,140.0
2017-07-20,25.0
2017-07-25,50.0
2017-07-26,270.0
2017-07-30,300.0
2017-07-31,75.0
2017-08-01,40.0
2017-08-12,400.0
2017-08-20,300.0
2017-08-22,550.0
2017-08-24,150.0
2017-08-26,50.0
2017-08-29,160.0
2017-08-30,300.0
2017-09-04,400.0
2017-09-06,570.0
2017-09-09,800.0
2017-09-10,280.0
2017-09-11,240.0
2017-09-14,370.0
2017-09-16,120.0
2017-09-19,140.0
2017-09-20,580.0
2017-09-23,300.0
2017-09-25,200.0
2017-09-26,50.0
2017-09-28,500.0
2017-09-30,50.0
2017-10-03,3.0
2017-10-04,30.0
2017-10-05,240.0
2017-10-10,100.0
2017-10-11,380.0
2017-10-12,200.0
2017-10-14,60.0
2017-10-17,230.0
2017-10-19,28.0
2017-10-21,40.0
2017-10-24,50.0
2017-10-25,560.0
2017-10-26,460.0
2017-10-28,3.0
2017-10-30,160.0
2017-10-31,25.0
2017-11-02,80.0
2017-11-06,10.0
2017-11-08,40.0
2017-11-13,25.0
2017-11-16,40.0
2017-11-20,50.0
2017-11-22,40.0
2017-11-25,40.0
2017-11-27,25.0
2017-11-29,50.0
2017-11-30,181.0
2017-12-03,20.0
2017-12-04,540.0
2017-12-06,50.0
2017-12-07,40.0
2017-12-10,40.0
2017-12-12,100.0
2017-12-13,75.0
2017-12-14,12.0
2017-12-16,400.0
2017-12-21,200.0
2017-12-23,5.0
2017-12-24,520.0
2017-12-27,30.0
2017-12-30,31.0
2017-12-31,80.0
2018-01-02,600.0
2018-01-04,105.0
2018-01-07,100.0
2018-01-08,120.0
2018-01-09,400.0
2018-01-10,160.0
2018-01-14,95.0
2018-01-16,150.0
