InvoiceDate,Qnty
2012-01-10,20.0
2012-01-11,30.0
2012-01-14,390.0
2012-01-15,26.0
2012-01-18,80.0
2012-01-19,1.0
2012-01-21,8.0
2012-01-22,286.0
2012-01-23,120.0
2012-01-24,440.0
2012-01-25,162.0
2012-01-28,135.0
2012-02-04,150.0
2012-02-05,148.0
2012-02-06,15.0
2012-02-07,11.0
2012-02-08,10.0
2012-02-12,100.0
2012-02-13,144.0
2012-02-15,400.0
2012-02-19,24.0
2012-02-21,50.0
2012-02-22,450.0
2012-02-23,10.0
2012-03-26,108.0
2012-04-02,10.0
2012-04-04,450.0
2012-04-30,50.0
2012-05-27,240.0
2012-06-02,9.0
2012-06-06,160.0
2012-06-14,250.0
2012-07-02,13.0
2012-07-06,450.0
2012-09-30,168.0
2012-12-03,130.0
2013-01-20,354.0
2013-02-04,150.0
2013-02-23,900.0
2013-03-30,200.0
2013-04-02,170.0
2013-06-05,50.0
2013-06-07,6.0
2013-06-20,280.0
2013-06-29,1.0
2013-07-09,150.0
2013-07-17,150.0
2013-08-13,150.0
2013-09-03,30.0
2013-10-03,553.0
2013-10-05,114.0
2013-10-06,60.0
2013-10-07,20.0
2013-10-08,6.0
2013-10-09,50.0
2013-10-10,33.0
2013-10-12,256.0
2013-10-13,36.0
2013-10-19,720.0
2013-10-20,137.0
2013-10-21,160.0
2013-10-22,172.0
2013-10-23,34.0
2013-10-24,544.0
2013-10-26,664.0
2013-10-27,608.0
2013-10-28,340.0
2013-10-29,760.0
2013-10-30,218.0
2013-10-31,1574.0
2013-11-02,572.0
2013-11-03,280.0
2013-11-04,157.0
2013-11-05,250.0
2013-11-07,195.0
2013-11-08,100.0
2013-11-09,62.0
2013-11-10,17.0
2013-11-12,2.0
2013-11-13,652.0
2013-11-16,166.0
2013-11-17,162.0
2013-11-18,5.0
2013-11-19,250.0
2013-11-20,21.0
2013-11-21,20.0
2013-11-23,295.0
2013-11-24,322.0
2013-11-25,155.0
2013-11-26,491.0
2013-11-27,151.0
2013-11-28,190.0
2013-11-30,71.0
2013-12-01,23.0
2013-12-02,271.0
2013-12-03,115.0
2013-12-04,45.0
2013-12-05,3.0
2013-12-07,38.0
2013-12-09,2.0
2013-12-10,157.0
2013-12-11,64.0
2013-12-14,12.0
2013-12-15,20.0
2013-12-17,197.0
2013-12-21,10.0
2013-12-22,56.0
2013-12-23,9.0
2013-12-24,30.0
2013-12-25,50.0
2013-12-26,330.0
2013-12-28,10.0
2013-12-29,15.0
2013-12-31,32.0
2014-01-04,100.0
2014-01-05,30.0
2014-01-07,80.0
2014-01-09,50.0
2014-01-11,130.0
2014-01-14,355.0
2014-01-15,158.0
2014-01-16,262.0
2014-01-19,201.0
2014-01-20,50.0
2014-01-21,8.0
2014-01-25,70.0
2014-01-27,232.0
2014-01-28,30.0
2014-01-29,136.0
2014-01-30,33.0
2014-02-02,250.0
2014-02-03,18.0
2014-02-04,275.0
2014-02-06,16.0
2014-02-08,257.0
2014-02-09,100.0
2014-02-10,108.0
2014-02-12,35.0
2014-02-13,100.0
2014-02-15,25.0
2014-02-16,40.0
2014-02-17,4.0
2014-02-18,217.0
2014-02-22,1.0
2014-02-23,112.0
2014-02-24,1.0
2014-02-26,6.0
2014-03-02,25.0
2014-03-03,97.0
2014-03-04,28.0
2014-03-05,250.0
2014-03-06,6.0
2014-03-09,50.0
2014-03-11,26.0
2014-03-13,90.0
2014-03-15,30.0
2014-03-16,26.0
2014-03-17,22.0
2014-03-18,5.0
2014-03-19,12.0
2014-03-22,39.0
2014-03-23,187.0
2014-03-24,150.0
2014-03-25,1.0
2014-03-27,8.0
2014-03-29,11.0
2014-03-30,64.0
2014-03-31,6.0
2014-04-02,320.0
2014-04-05,100.0
2014-04-06,6.0
2014-04-09,25.0
2014-04-12,13.0
2014-04-13,4.0
2014-04-14,5.0
2014-04-15,216.0
2014-04-16,20.0
2014-04-17,210.0
2014-04-19,24.0
2014-04-20,14.0
2014-04-21,180.0
2014-04-22,40.0
2014-04-23,91.0
2014-04-24,12.0
2014-04-27,4.0
2014-04-28,100.0
2014-04-29,11.0
2014-04-30,1.0
2014-05-01,2.0
2014-05-03,2.0
2014-05-04,117.0
2014-05-05,5.0
2014-05-06,246.0
2014-05-07,160.0
2014-05-10,111.0
2014-05-11,252.0
2014-05-12,638.0
2014-05-13,30.0
2014-05-14,16.0
2014-05-15,2.0
2014-05-17,76.0
2014-05-18,46.0
2014-05-19,90.0
2014-05-20,26.0
2014-05-21,10.0
2014-05-22,15.0
2014-05-26,336.0
2014-05-28,4.0
2014-05-31,10.0
2014-06-01,35.0
2014-06-02,5.0
2014-06-03,27.0
2014-06-05,22.0
2014-06-07,26.0
2014-06-08,20.0
2014-06-09,64.0
2014-06-10,42.0
2014-06-12,212.0
2014-06-14,8.0
2014-06-15,40.0
2014-06-16,26.0
2014-06-17,145.0
2014-06-18,152.0
2014-06-19,63.0
2014-06-21,30.0
2014-06-22,216.0
2014-06-23,46.0
2014-06-24,61.0
2014-06-25,1.0
2014-06-26,2.0
2014-06-28,286.0
2014-06-29,35.0
2014-06-30,14.0
2014-07-01,112.0
2014-07-03,1.0
2014-07-05,2.0
2014-07-07,4.0
2014-07-09,21.0
2014-07-10,40.0
2014-07-11,25.0
2014-07-13,30.0
2014-07-14,8.0
2014-07-16,100.0
2014-07-17,32.0
2014-07-18,110.0
2014-07-20,603.0
2014-07-21,100.0
2014-07-22,51.0
2014-07-23,31.0
2014-07-26,220.0
2014-08-02,26.0
2014-08-03,102.0
2014-08-04,40.0
2014-08-05,179.0
2014-08-06,86.0
2014-08-07,280.0
2014-08-09,4.0
2014-08-10,510.0
2014-08-11,6.0
2014-08-12,20.0
2014-08-13,246.0
2014-08-16,63.0
2014-08-17,190.0
2014-08-18,17.0
2014-08-19,5.0
2014-08-20,111.0
2014-08-21,68.0
2014-08-23,19.0
2014-08-24,25.0
2014-08-25,46.0
2014-08-26,150.0
2014-08-27,80.0
2014-08-30,4.0
2014-08-31,79.0
2014-09-01,50.0
2014-09-02,14.0
2014-09-03,191.0
2014-09-04,76.0
2014-09-06,10.0
2014-09-08,1.0
2014-09-09,199.0
2014-09-10,120.0
2014-09-11,150.0
2014-09-13,21.0
2014-09-14,164.0
2014-09-15,502.0
2014-09-16,280.0
2014-09-17,12.0
2014-09-18,256.0
2014-09-20,110.0
2014-09-21,10.0
2014-09-22,21.0
2014-09-24,40.0
2014-09-25,112.0
2014-09-28,20.0
2014-10-01,40.0
2014-10-18,15.0
2014-10-21,71.0
2014-10-22,10.0
2014-10-27,4.0
2014-10-30,84.0
2014-11-01,1.0
2014-11-03,110.0
2014-11-05,2.0
2014-11-08,216.0
2014-11-09,5.0
2014-11-11,2.0
2014-11-13,7.0
2014-11-17,44.0
