InvoiceDate,Qnty
2012-01-07,80.0
2012-01-10,20.0
2012-01-11,46.0
2012-01-14,422.0
2012-01-16,10.0
2012-01-18,90.0
2012-01-19,82.0
2012-01-21,10.0
2012-01-22,372.0
2012-01-23,140.0
2012-01-24,640.0
2012-01-25,154.0
2012-01-28,120.0
2012-01-29,45.0
2012-02-05,173.0
2012-02-06,33.0
2012-02-07,2.0
2012-02-08,18.0
2012-02-12,120.0
2012-02-13,115.0
2012-02-15,400.0
2012-02-19,55.0
2012-02-21,100.0
2012-02-22,500.0
2012-02-23,40.0
2012-03-26,187.0
2012-04-02,25.0
2012-04-04,500.0
2012-04-15,25.0
2012-04-18,80.0
2012-04-30,50.0
2012-05-27,300.0
2012-06-02,50.0
2012-06-06,640.0
2012-06-14,250.0
2012-06-30,250.0
2012-07-02,19.0
2012-07-06,500.0
2012-07-08,500.0
2012-08-08,580.0
2012-09-30,262.0
2012-10-17,250.0
2012-11-02,30.0
2012-11-21,6.0
2012-11-29,800.0
2012-12-03,130.0
2012-12-07,170.0
2013-01-04,500.0
2013-01-20,450.0
2013-02-04,250.0
2013-02-23,830.0
2013-03-14,500.0
2013-03-25,70.0
2013-03-30,300.0
2013-04-02,250.0
2013-04-06,5.0
2013-05-21,30.0
2013-06-05,120.0
2013-06-07,5.0
2013-06-20,400.0
2013-06-29,2.0
2013-07-09,160.0
2013-07-17,200.0
2013-08-13,150.0
2013-08-15,50.0
2013-08-17,104.0
2013-08-19,5.0
2013-08-20,10.0
2013-09-03,30.0
2013-10-03,487.0
2013-10-05,140.0
2013-10-06,60.0
2013-10-08,10.0
2013-10-09,50.0
2013-10-10,126.0
2013-10-12,272.0
2013-10-13,106.0
2013-10-19,930.0
2013-10-20,169.0
2013-10-21,25.0
2013-10-22,256.0
2013-10-23,39.0
2013-10-24,545.0
2013-10-26,842.0
2013-10-27,842.0
2013-10-28,820.0
2013-10-29,2450.0
2013-10-30,584.0
2013-10-31,2580.0
2013-11-02,1700.0
2013-11-03,475.0
2013-11-04,207.0
2013-11-05,465.0
2013-11-06,169.0
2013-11-07,222.0
2013-11-08,200.0
2013-11-09,220.0
2013-11-10,20.0
2013-11-11,4.0
2013-11-13,504.0
