InvoiceDate,Qnty
2012-01-07,80.0
2012-01-10,40.0
2012-01-12,10.0
2012-01-14,259.0
2012-01-15,366.0
2012-01-16,75.0
2012-01-17,8.0
2012-01-18,10.0
2012-01-19,103.0
2012-01-22,159.0
2012-01-23,230.0
2012-01-24,70.0
2012-01-25,100.0
2012-01-30,10.0
2012-01-31,10.0
2012-02-02,15.0
2012-02-05,65.0
2012-02-06,80.0
2012-02-07,20.0
2012-02-12,50.0
2012-02-13,60.0
2012-02-15,300.0
2012-02-21,330.0
2012-02-22,350.0
2012-02-23,120.0
2012-03-26,172.0
2012-04-04,320.0
2012-04-15,115.0
2012-04-18,43.0
2012-04-23,10.0
2012-04-30,30.0
2012-05-27,162.0
2012-06-02,75.0
2012-06-06,432.0
2012-06-14,150.0
2012-06-30,580.0
2012-07-02,5.0
2012-07-06,300.0
2012-07-08,200.0
2012-08-08,312.0
2012-09-02,3.0
2012-09-09,405.0
2012-09-23,30.0
2012-09-30,80.0
2012-10-17,360.0
2012-10-18,70.0
2012-11-21,15.0
2012-11-29,200.0
2012-12-02,10.0
2012-12-03,30.0
2012-12-07,100.0
2013-01-04,200.0
2013-01-20,245.0
2013-02-04,100.0
2013-02-23,820.0
2013-03-07,18.0
2013-03-09,40.0
2013-03-14,212.0
2013-03-25,50.0
2013-03-30,40.0
2013-04-02,200.0
2013-05-06,100.0
2013-05-21,40.0
2013-06-05,75.0
2013-06-20,140.0
2013-06-29,15.0
2013-07-09,50.0
2013-07-17,100.0
2013-07-21,10.0
2013-08-04,30.0
2013-08-09,35.0
2013-08-15,41.0
2013-08-17,52.0
2013-08-20,20.0
2013-08-26,10.0
2013-10-03,324.0
2013-10-05,165.0
2013-10-06,50.0
2013-10-07,316.0
2013-10-08,45.0
2013-10-09,38.0
2013-10-10,113.0
2013-10-12,85.0
2013-10-13,74.0
2013-10-19,410.0
2013-10-20,20.0
2013-10-21,15.0
2013-10-22,420.0
2013-10-23,28.0
2013-10-24,370.0
2013-10-26,830.0
2013-10-27,690.0
2013-10-28,574.0
2013-10-29,1742.0
2013-10-30,1000.0
2013-10-31,1565.0
2013-11-02,837.0
2013-11-03,280.0
2013-11-04,143.0
2013-11-05,50.0
2013-11-06,113.0
2013-11-07,355.0
2013-11-08,40.0
2013-11-09,270.0
2013-11-11,270.0
2013-11-12,20.0
2013-11-13,212.0
2013-11-16,14.0
2013-11-17,68.0
2013-11-18,150.0
2013-11-19,180.0
2013-11-20,201.0
2013-11-21,19.0
2013-11-23,95.0
2013-11-24,192.0
2013-11-25,100.0
2013-11-26,410.0
2013-11-27,45.0
2013-11-28,209.0
2013-11-30,8.0
2013-12-01,168.0
2013-12-02,50.0
2013-12-03,402.0
2013-12-04,135.0
2013-12-05,85.0
2013-12-07,66.0
2013-12-08,13.0
2013-12-09,64.0
2013-12-10,92.0
2013-12-11,119.0
2013-12-14,45.0
2013-12-16,40.0
2013-12-17,360.0
2013-12-18,40.0
2013-12-19,5.0
2013-12-21,220.0
2013-12-22,115.0
2013-12-23,40.0
2013-12-24,24.0
2013-12-25,130.0
2013-12-26,205.0
2013-12-28,5.0
2013-12-29,260.0
2013-12-30,30.0
2013-12-31,60.0
2014-01-04,50.0
2014-01-05,70.0
2014-01-07,50.0
2014-01-08,3.0
2014-01-11,45.0
2014-01-12,5.0
2014-01-13,12.0
2014-01-14,80.0
2014-01-15,50.0
2014-01-16,72.0
2014-01-18,80.0
2014-01-19,56.0
2014-01-20,50.0
2014-01-22,34.0
2014-01-27,104.0
2014-01-28,45.0
2014-01-29,80.0
2014-01-30,85.0
2014-02-02,96.0
2014-02-03,100.0
2014-02-05,20.0
2014-02-06,14.0
2014-02-08,110.0
