InvoiceDate,Qnty
2012-01-14,150.0
2012-01-28,250.0
2012-02-02,40.0
2012-02-04,50.0
2012-02-05,5.0
2012-02-19,30.0
2012-07-06,30.0
2012-09-09,10.0
2012-10-22,10.0
2012-12-23,40.0
2013-01-21,10.0
2013-04-02,120.0
2013-04-09,10.0
2013-06-20,20.0
2013-08-09,10.0
2013-08-15,1.0
2013-08-18,100.0
2013-09-03,30.0
2013-10-05,150.0
2013-10-20,250.0
2013-10-21,90.0
2013-10-22,5.0
2013-10-26,30.0
2013-10-29,30.0
2013-10-30,20.0
2013-10-31,170.0
2013-11-03,20.0
2013-11-04,35.0
2013-11-06,101.0
2013-11-07,50.0
2013-11-08,35.0
2013-11-09,30.0
2013-11-10,6.0
2013-11-11,16.0
2013-11-12,30.0
2013-11-13,50.0
2013-11-14,60.0
2013-11-16,373.0
2013-11-17,198.0
2013-11-18,92.0
2013-11-19,40.0
2013-11-20,90.0
2013-11-21,210.0
2013-11-23,176.0
2013-11-24,35.0
2013-11-25,160.0
2013-11-26,525.0
2013-11-27,91.0
2013-11-28,390.0
2013-11-30,171.0
2013-12-01,12.0
2013-12-02,412.0
2013-12-03,211.0
2013-12-04,244.0
2013-12-05,61.0
2013-12-07,67.0
2013-12-08,6.0
2013-12-09,100.0
2013-12-10,192.0
2013-12-12,5.0
2013-12-14,250.0
2013-12-15,15.0
2013-12-16,80.0
2013-12-17,70.0
2013-12-18,40.0
2013-12-19,252.0
2013-12-21,10.0
2013-12-22,270.0
2013-12-23,127.0
2013-12-24,40.0
2013-12-25,150.0
2013-12-26,10.0
2013-12-28,10.0
2013-12-29,15.0
2013-12-30,124.0
2013-12-31,92.0
2014-01-04,100.0
2014-01-05,60.0
2014-01-06,100.0
2014-01-07,72.0
2014-01-08,1.0
2014-01-09,110.0
2014-01-11,10.0
2014-01-12,151.0
2014-01-13,284.0
2014-01-15,196.0
2014-01-16,160.0
2014-01-18,61.0
2014-01-19,107.0
2014-01-20,51.0
2014-01-21,30.0
2014-01-22,1.0
2014-01-23,60.0
2014-01-25,100.0
2014-01-26,132.0
2014-01-27,278.0
