InvoiceDate,Total
2012-01-02,69887.0
2012-01-03,376.0
2012-01-07,4611.0
2012-01-10,26499.0
2012-01-11,1844.0
2012-01-12,14691.0
2012-01-14,17462.0
2012-01-15,33019.0
2012-01-16,17365.0
2012-01-17,2994.2
2012-01-18,88692.0
2012-01-19,9551.0
2012-01-21,8066.0
2012-01-22,22005.0
2012-01-23,17515.0
2012-01-24,13495.0
2012-01-25,15960.0
2012-01-26,1972.0
2012-01-28,3852.0
2012-01-29,1200.0
2012-01-30,4837.0
2012-01-31,1282.0
2012-02-01,1877.0
2012-02-02,22738.0
2012-02-04,21207.0
2012-02-05,28622.0
2012-02-06,4794.0
2012-02-07,19841.0
2012-02-08,663.0
2012-02-11,868.0
2012-02-12,9121.0
2012-02-13,12594.0
2012-02-14,11049.0
2012-02-15,32873.0
2012-02-16,78.0
2012-02-18,7827.0
2012-02-19,10340.0
2012-02-21,3780.0
2012-02-22,27744.0
2012-02-23,4634.0
2012-02-26,151.0
2012-02-27,177.0
2012-03-01,188.0
2012-03-03,452.0
2012-03-05,379.0
2012-03-17,17084.0
2012-03-26,14869.0
2012-04-02,3635.0
2012-04-04,37132.0
2012-04-15,11089.0
2012-04-17,6817.0
2012-04-18,6832.0
2012-04-22,2261.0
2012-04-23,5038.0
2012-04-30,11536.0
2012-05-02,11435.0
2012-05-11,3161.0
2012-05-17,679.0
2012-05-22,1804.0
2012-05-24,1014.0
2012-05-27,15804.0
2012-06-02,4930.0
2012-06-06,10843.0
2012-06-14,15157.0
2012-06-30,25249.0
2012-07-02,4054.0
2012-07-03,2354.0
2012-07-06,20676.0
2012-07-08,11730.0
2012-08-03,234.0
2012-08-08,9271.0
2012-08-11,1005.0
2012-09-02,8753.0
2012-09-09,20325.0
2012-09-10,9259.0
2012-09-12,3933.0
2012-09-15,20490.0
2012-09-22,877.0
2012-09-23,1318.0
2012-09-27,367.0
2012-09-30,13150.0
2012-10-01,3920.0
2012-10-14,751.0
2012-10-17,34844.0
2012-10-18,4156.0
2012-10-20,396.0
2012-10-22,10298.0
2012-10-23,7546.0
2012-10-24,320.0
2012-10-29,287.0
2012-11-02,12260.0
2012-11-03,5745.0
2012-11-07,4434.0
2012-11-10,764.0
2012-11-11,1422.0
2012-11-13,1698.0
2012-11-18,24572.0
2012-11-21,500.0
2012-11-27,8769.0
2012-11-28,10279.0
2012-11-29,27774.0
2012-12-02,998.0
2012-12-03,1399.0
2012-12-07,20677.0
2012-12-11,85050.0
2012-12-23,4792.0
2013-01-04,14882.0
2013-01-07,36.0
2013-01-09,3096.0
2013-01-20,36793.0
2013-01-21,7630.0
2013-01-22,9866.0
2013-02-04,18574.0
2013-02-23,55288.0
2013-03-06,2112.0
2013-03-07,6433.0
2013-03-09,2065.0
2013-03-14,16612.0
2013-03-16,2755.0
2013-03-17,590.0
2013-03-18,1200.0
2013-03-25,2958.0
2013-03-30,11812.0
2013-04-02,55515.0
2013-04-05,1407.0
2013-04-06,941.0
2013-04-07,3428.0
2013-04-08,3748.0
2013-04-09,13295.0
2013-04-24,26388.0
2013-04-29,2300.5
2013-04-30,173.0
2013-05-06,3527.0
2013-05-08,13788.33
2013-05-09,25.0
2013-05-14,6019.0
2013-05-18,2784.0
2013-05-21,7051.0
2013-06-05,35261.0
2013-06-07,6398.0
2013-06-20,55801.0
2013-06-26,648.0
2013-06-29,2092.0
2013-06-30,2441.0
2013-07-07,160.0
2013-07-08,1768.0
2013-07-09,8292.0
2013-07-14,270.0
2013-07-17,7990.0
